old_metabolite,new_metabolite,old_reaction,new_reaction
dad__2_c,dad_2_c,ACP1,ACP1_FMH
26dap__LL_c,26dap_LL_c,EX_metsox__S__L_e,EX_metsox_S__L_e
adphep__DD_c,adphep_DD_c,EX_glc_e,EX_glc__D_e
adphep__LD_c,adphep_LD_c,DM_AMOB,DM_amob_c
ala__B_c,ala_B_c,EX_dad__2_e,EX_dad_2_e
ala__B_e,ala_B_e,EX_ala__B_e,EX_ala_B_e
dad__2_e,dad_2_e,D__LACtex,D_LACtex
s2hglut_c,S2hglut_c,L__LACtex,L_LACtex
arbtn__fe3_e,arbtn_fe3_e,EX_arbtn__fe3_e,EX_arbtn_fe3_e
dad__2_p,dad_2_p,L__LACD3,L_LACD3
feoxam__un_e,feoxam_un_e,L__LACD2,L_LACD2
feoxam__un_p,feoxam_un_p,L__LACt2rpp,L_LACt2rpp
feoxam__un_c,feoxam_un_c,EX_fe3hox__un_e,EX_fe3hox_un_e
fe3hox__un_e,fe3hox_un_e,EX_fecrm__un_e,EX_fecrm_un_e
fe3hox__un_p,fe3hox_un_p,EX_gal__bD_e,EX_gal_bD_e
fe3hox__un_c,fe3hox_un_c,EX_feoxam__un_e,EX_feoxam_un_e
fecrm__un_c,fecrm_un_c,D__LACt2pp,D_LACt2pp
fecrm__un_p,fecrm_un_p,EX_metsox__R__L_e,EX_metsox_R__L_e
fecrm__un_e,fecrm_un_e,DM_OXAM,DM_oxam_c
gal__bD_e,gal_bD_e,DM_5DRIB,DM_5drib_c
gal__bD_p,gal_bD_p,EX_cpgn__un_e,EX_cpgn_un_e
metsox__S__L_e,metsox_S__L_e,DM_AACALD,DM_aacald_c
metsox__S__L_p,metsox_S__L_p,DM_4CRSOL,DM_4crsol_c
metsox__S__L_c,metsox_S__L_c,DM_MTHTHF,DM_mththf_c
arbtn__fe3_c,arbtn_fe3_c,,
arbtn__fe3_p,arbtn_fe3_p,,
arbtn__fe3_e,arbtn_fe3_e,,
cpgn__un_c,cpgn_un_c,,
cpgn__un_p,cpgn_un_p,,
cpgn__un_e,cpgn_un_e,,
ala__B_p,ala_B_p,,
acon__T_c,acon_T_c,,
acon__C_c,acon_C_c,,
dad__5_c,dad_5_c,,
metsox__R__L_e,metsox_R__L_e,,
metsox__R__L_p,metsox_R__L_p,,
metsox__R__L_c,metsox_R__L_c,,
iscu__2fe2s2_c,iscu_2fe2s2_c,,
iscu__2fe2s_c,iscu_2fe2s_c,,
iscu__4fe4s_c,iscu_4fe4s_c,,
sufbcd__2fe2s_c,sufbcd_2fe2s_c,,
sufbcd__2fe2s2_c,sufbcd_2fe2s2_c,,
sufbcd__4fe4s_c,sufbcd_4fe4s_c,,
